,address,lat,lon
82,1821 CLIFTON ROAD NE ATLANTA GA,33.8047771,-84.3311812
83,513 3RD ST SW WAGNER SD,43.0781405,-98.30345489999999
84,23621 SE H K DODGEN LOOP TEMPLE TX,31.0672988,-97.3509742
85,900 ILLINOIS AVE STEVENS POINT WI,44.5267124,-89.5671536
86,3815 HIGHLAND AVE DOWNERS GROVE IL,41.8176201,-88.0083089
87,323 SOUTH 18TH AVENUE STURGEON BAY WI,44.8328145,-87.351857
88,1500 MATTHEWS TOWNSHIP PARKWAY MATTHEWS NC,35.12083,-80.71397999999999
89,3533 PRAIRIEVIEW STREET GRAND ISLAND NE,40.8860483,-98.380651
90,4604 US HIGHWAY 60 WEST MORGANFIELD KY,37.6285121,-87.9476742
91,1333 MOURSUND STREET HOUSTON TX,29.7090906,-95.3947045
92,201 E SAMPLE RD POMPANO BEACH FL,26.2770163,-80.121398
93,117 KITE ROAD SWAINSBORO GA,32.5924173,-82.34764729999999
94,288 SOUTH RIDGECREST AVE RUTHERFORDTON NC,35.362384,-81.9659254
95,529 CENTRAL AVENUE DUNKIRK NY,42.4797834,-79.3347618
96,"531 BEEBE ST, PO BOX 428 OSCEOLA NE",41.16978779999999,-97.5490124
97,"90 HOPE DRIVE, BUILDING 6000 MOUNTAIN HOME AFB ID",43.065168,-115.850283
98,16977 I-35 NORTH SCHERTZ TX,29.5942568,-98.28987409999999
99,1401 W LOCUST ST STILWELL OK,35.809899,-94.6430776
