,address,coordinates
74,"202 High St, Tecumseh, NE 68450, USA","40.37967562,-96.19702289"
75,"2 Crescent Park, Warren, PA 16365, USA","41.843328,-79.15461"
76,"W48J+43 Farmers Branch, TX, USA","32.91526053,-96.86979587"
77,"100 Hoylman Dr, Gassaway, WV 26624, USA","38.66115929,-80.74860807"
78,"2090 Wallum Lake Rd, Pascoag, RI 02859, USA","41.99725365,-71.76246104"
79,"40 Park Rd, Westbrook, ME 04092, USA","43.68788545,-70.3569291"
80,"2600 SW Holden St, Seattle, WA 98126, USA","47.53407121,-122.3661718"
81,"210 Medical Park Blvd Suite 150, Petersburg, VA 23805, USA","37.18249302,-77.35925387"
82,"1621 Front St, Henderson, NE 68371, USA","40.78334794,-97.80754526"
83,"2016 S Main St, Maryville, MO 64468, USA","40.32628433,-94.87638893"
84,"800 Pennsylvania Ave, Charleston, WV 25302, USA","38.35923196,-81.6379058"
85,"301 Spring Garden Rd, Hammonton, NJ 08037, USA","39.68107392,-74.86248752"
86,"235 W Airport Blvd, Pensacola, FL 32505, USA","30.47144327,-87.25261722"
87,"1401 9th St, Lubbock, TX 79401, USA","33.5867927,-101.8508308"
88,"5807 Bremo Rd, Richmond, VA 23226, USA","37.58361458,-77.51229963"
89,"2215 Fuller Ct, Ann Arbor, MI 48105, USA","42.28669332,-83.71464059"
90,"1756 Sagamore Rd, Northfield, OH 44067, USA","41.3489516,-81.57257847"
91,"1411 Denver Ave, Dalhart, TX 79022, USA","36.05126131,-102.5214838"
92,"6801 Oakmont Blvd, Fort Worth, TX 76132, USA","32.66203254,-97.41423269"
93,"Boise VA Medical Center Building 77, 500 W Fort St, Boise, ID 83702, USA","43.62121665,-116.1902767"
94,"18 Av. Severiano Cuevas, Aguadilla, 00603, Puerto Rico","18.44280934,-67.15088511"
95,"701 E Loop 281, Longview, TX 75605, USA","32.53463669,-94.71230138"
96,"7700 Floyd Curl Dr, San Antonio, TX 78229, USA","29.5082133,-98.57247759"
97,"6500 Hornwood Dr, Houston, TX 77074, USA","29.70925137,-95.498084"
98,"3130 Shore Dr, Marinette, WI 54143, USA","45.07196868,-87.61769653"
99,"1726 Shawano Ave, Green Bay, WI 54303, USA","44.53276298,-88.06609037"
